#state	population	free energy (kT)
0	0.063909	0.000000
1	0.000710	4.499966
2	0.000660	4.572991
3	0.016300	1.366311
4	0.006750	2.247933
5	0.001060	4.099207
6	0.001840	3.547710
7	0.002890	3.096219
8	0.002180	3.378151
9	0.004940	2.560111
10	0.011530	1.712524
11	0.012920	1.598699
12	0.003480	2.910444
13	0.006080	2.352471
14	0.007030	2.207289
15	0.001230	3.950462
16	0.007010	2.210138
17	0.001000	4.157476
18	0.003900	2.796499
19	0.032580	0.673777
20	0.002160	3.387368
21	0.001560	3.712790
22	0.000100	6.460061
23	0.007360	2.161416
24	0.012660	1.619028
25	0.043680	0.380586
26	0.007930	2.086823
27	0.037260	0.539555
28	0.000380	5.125060
29	0.000700	4.514151
30	0.000710	4.499966
31	0.007710	2.114958
32	0.015370	1.425058
33	0.020930	1.116292
34	0.001630	3.668896
35	0.005050	2.538088
36	0.009750	1.880209
37	0.007690	2.117555
38	0.013820	1.531359
39	0.000160	5.990057
40	0.007350	2.162776
41	0.057299	0.109175
42	0.001190	3.983523
43	0.000570	4.719595
44	0.002180	3.378151
45	0.009650	1.890518
46	0.009640	1.891555
47	0.011690	1.698742
48	0.011610	1.705609
49	0.000930	4.230047
50	0.011840	1.685992
51	0.014980	1.450760
52	0.009690	1.886381
53	0.004020	2.766194
54	0.002370	3.294586
55	0.004220	2.717641
56	0.001970	3.479442
57	0.001460	3.779039
58	0.005330	2.484125
59	0.045010	0.350591
60	0.005260	2.497345
61	0.001070	4.089817
62	0.004610	2.629248
63	0.000730	4.472187
64	0.017450	1.298136
65	0.003260	2.975749
66	0.000570	4.719595
67	0.005320	2.486003
68	0.009560	1.899888
69	0.001220	3.958625
70	0.001850	3.542290
71	0.000460	4.934005
72	0.003260	2.975749
73	0.000460	4.934005
74	0.015120	1.441457
75	0.011880	1.682620
76	0.002200	3.369018
77	0.010490	1.807053
78	0.015560	1.412772
79	0.001450	3.785912
80	0.012010	1.671736
81	0.014910	1.455444
82	0.009570	1.898843
83	0.000750	4.445158
84	0.008750	1.988422
85	0.000740	4.458581
86	0.016760	1.338481
87	0.014910	1.455444
88	0.009540	1.901982
89	0.050249	0.240465
90	0.000920	4.240857
91	0.012600	1.623779
92	0.000680	4.543138
93	0.003980	2.776194
94	0.018450	1.242411
95	0.004850	2.578497
96	0.036840	0.550892
97	0.039030	0.493145
98	0.025040	0.937001
99	0.010040	1.850899
