#State	pops	free energy (kT)
0	4.166649e-06	6.356909e+00
1	8.458298e-03	1.818660e+00
2	1.041662e-04	4.438781e+00
3	1.791659e-04	4.115610e+00
4	1.208328e-04	4.350338e+00
5	6.083308e-04	3.387178e+00
6	1.399994e-03	2.890493e+00
7	7.916634e-05	4.602318e+00
8	9.166628e-05	4.514957e+00
9	1.666660e-05	5.530817e+00
10	9.872876e-02	3.543972e-01
11	3.091654e-03	2.418398e+00
12	1.249995e-04	4.330136e+00
13	1.499994e-04	4.221491e+00
14	3.749984e-05	5.047583e+00
15	4.749980e-04	3.534609e+00
16	5.499977e-04	3.447248e+00
17	2.666656e-04	3.878631e+00
18	3.720401e-02	9.359716e-01
19	4.008317e-03	2.263664e+00
20	8.438298e-02	4.479598e-01
21	2.413740e-02	1.193790e+00
22	1.741659e-03	2.760366e+00
23	3.713318e-02	9.371072e-01
24	1.354161e-03	2.910328e+00
25	4.874980e-04	3.519130e+00
26	1.374994e-04	4.273341e+00
27	2.499990e-05	5.289200e+00
28	5.858309e-03	2.037526e+00
29	2.499990e-05	5.289200e+00
30	4.999979e-05	4.876154e+00
31	7.541635e-04	3.259125e+00
32	2.366657e-03	2.577639e+00
33	4.583314e-05	4.928004e+00
34	7.124970e-04	3.292992e+00
35	4.749980e-04	3.534609e+00
36	7.124970e-04	3.292992e+00
37	2.624989e-04	3.888015e+00
38	7.581635e-02	5.117519e-01
39	7.695801e-03	1.874956e+00
40	2.602489e-02	1.148924e+00
41	3.789151e-02	9.250604e-01
42	4.541648e-04	3.561335e+00
43	1.874992e-04	4.088519e+00
44	3.749984e-05	5.047583e+00
45	1.333328e-04	4.291677e+00
46	4.999979e-05	4.876154e+00
47	1.249995e-05	5.702246e+00
48	2.083325e-04	4.025735e+00
49	2.124991e-03	2.641824e+00
50	1.666660e-05	5.530817e+00
51	2.499990e-05	5.289200e+00
52	8.333299e-06	5.943863e+00
53	1.789493e-01	0.000000e+00
54	8.333299e-06	5.943863e+00
55	2.699989e-03	2.499118e+00
56	2.499990e-05	5.289200e+00
57	9.999958e-05	4.463107e+00
58	1.249995e-05	5.702246e+00
59	4.516648e-03	2.192514e+00
60	6.454973e-02	6.076192e-01
61	9.899959e-03	1.724875e+00
62	7.083304e-05	4.668598e+00
63	3.333319e-05	5.117770e+00
64	1.249995e-04	4.330136e+00
65	2.791655e-04	3.851333e+00
66	3.749984e-05	5.047583e+00
67	4.405815e-02	8.352086e-01
68	1.234162e-02	1.593511e+00
69	2.484990e-02	1.176455e+00
70	2.735822e-02	1.119151e+00
71	7.770801e-03	1.869177e+00
72	1.922492e-02	1.329390e+00
73	8.183299e-03	1.838356e+00
74	1.757076e-02	1.383004e+00
75	1.786243e-02	1.373194e+00
76	8.999963e-04	3.153781e+00
77	6.599973e-03	1.966492e+00
78	2.275824e-02	1.228850e+00
79	2.916655e-05	5.197342e+00
80	9.083295e-04	3.148289e+00
81	1.518744e-02	1.469867e+00
82	2.499990e-05	5.289200e+00
83	1.020829e-03	3.078710e+00
84	7.958300e-04	3.227080e+00
85	8.333299e-06	5.943863e+00
86	1.319161e-02	1.553822e+00
87	2.916655e-05	5.197342e+00
88	2.083325e-05	5.397845e+00
89	3.279153e-03	2.383312e+00
90	2.279157e-03	2.600088e+00
91	1.041662e-04	4.438781e+00
92	1.092912e-02	1.665941e+00
93	8.166633e-04	3.211681e+00
94	6.754139e-03	1.952733e+00
95	6.399973e-03	1.984829e+00
96	4.166649e-05	4.984799e+00
97	8.333299e-06	5.943863e+00
98	3.374986e-04	3.738257e+00
