#State	population
53	0.178949
10	0.098729
20	0.084383
38	0.075816
60	0.064550
67	0.044058
41	0.037892
18	0.037204
23	0.037133
70	0.027358
40	0.026025
69	0.024850
21	0.024137
78	0.022758
72	0.019225
75	0.017862
74	0.017571
81	0.015187
86	0.013192
68	0.012342
92	0.010929
61	0.009900
1	0.008458
73	0.008183
71	0.007771
39	0.007696
94	0.006754
77	0.006600
95	0.006400
28	0.005858
59	0.004517
19	0.004008
89	0.003279
11	0.003092
55	0.002700
32	0.002367
90	0.002279
49	0.002125
22	0.001742
6	0.001400
24	0.001354
83	0.001021
80	0.000908
76	0.000900
93	0.000817
84	0.000796
31	0.000754
34	0.000712
36	0.000712
5	0.000608
16	0.000550
25	0.000487
15	0.000475
35	0.000475
42	0.000454
98	0.000337
65	0.000279
17	0.000267
37	0.000262
48	0.000208
43	0.000187
3	0.000179
13	0.000150
26	0.000137
45	0.000133
64	0.000125
12	0.000125
4	0.000121
2	0.000104
91	0.000104
57	0.000100
8	0.000092
7	0.000079
62	0.000071
30	0.000050
46	0.000050
33	0.000046
96	0.000042
44	0.000037
14	0.000037
66	0.000037
63	0.000033
87	0.000029
79	0.000029
56	0.000025
29	0.000025
82	0.000025
27	0.000025
51	0.000025
88	0.000021
9	0.000017
50	0.000017
47	0.000012
58	0.000012
54	0.000008
97	0.000008
52	0.000008
85	0.000008
0	0.000004
